
---------- Begin Simulation Statistics ----------
simSeconds                                   0.030533                       # Number of seconds simulated (Second)
simTicks                                  30533152500                       # Number of ticks simulated (Tick)
finalTick                                 30533152500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    216.47                       # Real time elapsed on the host (Second)
hostTickRate                                141051360                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680484                       # Number of bytes of host memory used (Byte)
simInsts                                    108375611                       # Number of instructions simulated (Count)
simOps                                      115599973                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   500653                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     534027                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         61066306                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       122468954                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    79008                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      121990799                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 161241                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6947988                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4931470                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 184                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            58343228                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.090916                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.025680                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  20325203     34.84%     34.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5263021      9.02%     43.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10015616     17.17%     61.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8030793     13.76%     74.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7194502     12.33%     87.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3216420      5.51%     92.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2930346      5.02%     97.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    776633      1.33%     98.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    590694      1.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              58343228                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  213703     14.67%     14.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 193876     13.31%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     27.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      1      0.00%     27.99% # attempts to use FU when none available (Count)
