
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021827                       # Number of seconds simulated (Second)
simTicks                                  21827056500                       # Number of ticks simulated (Tick)
finalTick                                 21827056500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     57.34                       # Real time elapsed on the host (Second)
hostTickRate                                380665942                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671952                       # Number of bytes of host memory used (Byte)
simInsts                                     37273609                       # Number of instructions simulated (Count)
simOps                                       38427141                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   650055                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     670172                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         43654114                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        41769773                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      256                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       40831902                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4632                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3342887                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2477622                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  43                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            43596631                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.936584                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.490867                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  26256025     60.22%     60.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6754574     15.49%     75.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4095774      9.39%     85.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2930189      6.72%     91.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1765700      4.05%     95.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1066324      2.45%     98.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    492014      1.13%     99.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    139539      0.32%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     96492      0.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              43596631                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   48509      8.76%      8.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2478      0.45%      9.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      9.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      9.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      9.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      9.20% # attempts to use FU when none available (Count)
