
---------- Begin Simulation Statistics ----------
simSeconds                                   0.018099                       # Number of seconds simulated (Second)
simTicks                                  18098871500                       # Number of ticks simulated (Tick)
finalTick                                 18098871500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     61.07                       # Real time elapsed on the host (Second)
hostTickRate                                296341786                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     640012                       # Number of bytes of host memory used (Byte)
simInsts                                     39561848                       # Number of instructions simulated (Count)
simOps                                       39561863                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   647765                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     647766                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         36197744                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        43791245                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    33418                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       43629376                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  83327                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4262799                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2360415                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4670                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            35278314                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.236719                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.927381                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  20912335     59.28%     59.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3942711     11.18%     70.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2940996      8.34%     78.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2425726      6.88%     85.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1917881      5.44%     91.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1303480      3.69%     94.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    944745      2.68%     97.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    453419      1.29%     98.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    437021      1.24%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              35278314                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  325581     21.78%     21.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  81480      5.45%     27.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1459      0.10%     27.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    10      0.00%     27.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   523      0.03%     27.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     27.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc              2327      0.16%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     27.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     27.52% # attempts to use FU when none available (Count)
