
---------- Begin Simulation Statistics ----------
simSeconds                                   0.028694                       # Number of seconds simulated (Second)
simTicks                                  28693781000                       # Number of ticks simulated (Tick)
finalTick                                 28693781000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     85.06                       # Real time elapsed on the host (Second)
hostTickRate                                337346147                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     672204                       # Number of bytes of host memory used (Byte)
simInsts                                     46326279                       # Number of instructions simulated (Count)
simOps                                       50666649                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   544647                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     595676                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         57387565                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        54200188                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4231                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54451067                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  57381                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3537769                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2934093                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  60                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56138283                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.969945                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.714080                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  37308174     66.46%     66.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5299379      9.44%     75.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4218374      7.51%     83.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3227311      5.75%     89.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2459296      4.38%     93.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1685276      3.00%     96.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1089109      1.94%     98.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    576123      1.03%     99.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    275241      0.49%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56138283                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  391804     39.88%     39.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  81431      8.29%     48.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     48.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     48.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     48.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     48.16% # attempts to use FU when none available (Count)
