
---------- Begin Simulation Statistics ----------
simSeconds                                   0.051199                       # Number of seconds simulated (Second)
simTicks                                  51198708500                       # Number of ticks simulated (Tick)
finalTick                                 51198708500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    190.25                       # Real time elapsed on the host (Second)
hostTickRate                                269107267                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680480                       # Number of bytes of host memory used (Byte)
simInsts                                    117386585                       # Number of instructions simulated (Count)
simOps                                      124728401                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   616999                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     655589                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        102397418                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       129930583                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   196975                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      129897175                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 231254                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5399156                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4274750                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 165                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           102099464                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.272261                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.804198                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  53686811     52.58%     52.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  16106612     15.78%     68.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10595404     10.38%     78.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8624469      8.45%     87.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6038076      5.91%     93.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2841262      2.78%     95.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1963748      1.92%     97.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1359410      1.33%     99.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    883672      0.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             102099464                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  299782     11.01%     11.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 137875      5.06%     16.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.08% # attempts to use FU when none available (Count)
